iter	MultiClass
254	0.7375771582
255	0.7375643733
256	0.7375258568
257	0.737477231
258	0.7374507106
259	0.7374392541
260	0.737324456
261	0.7373132184
262	0.7372738259
263	0.7372613744
264	0.7370682303
265	0.7370565977
266	0.7370455361
267	0.7369504643
268	0.7368580542
269	0.7368378026
270	0.7368270285
271	0.7368141004
272	0.7367910346
273	0.7367802365
274	0.7365896404
275	0.7365702021
276	0.7364830386
277	0.7364710142
278	0.7364599626
279	0.7364344787
280	0.7364219432
281	0.7364108942
282	0.7363704474
283	0.7363111142
284	0.7362995367
285	0.7362754813
286	0.7362393769
287	0.7362282802
288	0.7362103778
289	0.7361717283
290	0.7361595769
291	0.7361467185
292	0.7361185451
293	0.7360864427
294	0.7360735088
295	0.7360363379
296	0.7360055887
297	0.7359477109
298	0.7359353319
299	0.7359226172
300	0.7359119335
301	0.7359009102
302	0.7358880603
303	0.7357888827
304	0.7357756176
305	0.7357633462
306	0.7357473149
307	0.735722287
308	0.7356893351
309	0.7356646289
310	0.7356281553
311	0.7356159983
312	0.7356049504
313	0.7355645803
314	0.7354685266
315	0.7354562575
316	0.735395726
317	0.7353851494
318	0.7353733431
319	0.7353218168
320	0.7353101537
321	0.7352811304
322	0.7350657531
323	0.7350351158
324	0.7350227028
325	0.7350079562
326	0.734974585
327	0.7349039745
328	0.7348747253
329	0.7348626402
330	0.7348506256
331	0.7348390975
332	0.7348268352
333	0.7348154091
334	0.7347686351
335	0.7347517816
336	0.734737267
337	0.7345967711
338	0.734542796
339	0.7345297708
340	0.7344797372
341	0.7344680232
342	0.7344558629
343	0.7344435942
344	0.7344292503
345	0.7344182643
346	0.734342729
347	0.7343322593
348	0.7343145789
349	0.734302977
350	0.7340491569
351	0.7340384924
352	0.7340268484
353	0.7339891989
354	0.7339768406
355	0.7339652548
356	0.7339266582
357	0.7338914146
358	0.733872894
359	0.7338412848
360	0.7338287142
361	0.7338138555
362	0.733772873
363	0.7335861951
364	0.7335737667
365	0.7335609647
366	0.7335495886
367	0.7335314642
368	0.7335195437
369	0.7335043891
370	0.7334787366
371	0.7334674405
372	0.733456276
373	0.7334448137
374	0.7334332325
375	0.7334066046
376	0.7333944228
377	0.7333819392
378	0.733369935
379	0.7333584995
380	0.7333453684
381	0.7332850497
382	0.7331924029
383	0.7331815251
384	0.7331523902
385	0.7331388015
386	0.7331271641
387	0.7331154859
388	0.7331054378
389	0.733069337
390	0.7330323748
391	0.7330140511
392	0.7330035671
393	0.7329623636
394	0.7329510149
395	0.7328798903
396	0.7328681283
397	0.7328581301
398	0.7328443313
399	0.7328331982
400	0.7328213388
401	0.7328094823
402	0.7327604262
403	0.7327483657
404	0.7327289536
405	0.7327073953
406	0.7326973373
407	0.7326843664
408	0.7326345623
409	0.7326225784
410	0.7326103695
411	0.7325927395
412	0.7325529898
413	0.7325383287
414	0.7325256248
415	0.7324999041
416	0.7324882438
417	0.7324763954
418	0.7324635397
419	0.7323741841
420	0.7323554635
421	0.7323439524
422	0.7323313879
423	0.7322886416
424	0.7322733987
425	0.7322564345
426	0.7322116321
427	0.7322003052
428	0.7321734007
429	0.7321606428
430	0.7321489014
431	0.7321370386
432	0.7321258779
433	0.7320737298
434	0.7320625817
435	0.7320519573
436	0.7320331443
437	0.7320214513
438	0.7320058619
439	0.7319939322
440	0.7319810476
441	0.7318825043
442	0.7318524888
443	0.7318412927
444	0.7318300652
445	0.7317922027
446	0.7317787339
447	0.7317470556
448	0.7317344552
449	0.731686323
450	0.7316704037
451	0.7316546579
452	0.7316418028
453	0.7316302244
454	0.7315908426
455	0.7315793656
456	0.7315672674
457	0.7314799904
458	0.7314682697
459	0.7314568664
460	0.7314273484
461	0.7314155631
462	0.7314035232
463	0.7313910468
464	0.7313799655
465	0.7313591997
466	0.7313427716
467	0.731331811
468	0.7313200339
469	0.7312902654
470	0.731252136
471	0.7312295531
472	0.7312178299
473	0.7312051652
474	0.731170835
475	0.7311325869
476	0.731107094
477	0.7310959842
478	0.7310534014
479	0.7310442579
480	0.731031386
481	0.731011441
482	0.7310003149
483	0.7309599914
484	0.7309344221
485	0.7308605267
486	0.7308262252
487	0.7307925683
488	0.7307810979
489	0.7307377157
490	0.7307255269
491	0.7307086337
492	0.7306789108
493	0.7306401255
494	0.7306279484
495	0.7306161445
496	0.7305971133
497	0.7305774193
498	0.7305640588
499	0.7305369607
500	0.7304802305
501	0.7304679103
502	0.7304460977
503	0.7304335329
504	0.7303962066
505	0.7303677151
506	0.7302970268
507	0.7302857387
508	0.7302723755
509	0.730260349
510	0.7302486317
511	0.730231704
512	0.730204004
513	0.730181409
514	0.7301305343
515	0.7301198758
516	0.7301090395
517	0.7300902592
518	0.7300781399
519	0.7300254986
520	0.7300000442
521	0.7299875968
522	0.7299755797
523	0.729954781
524	0.7299430596
525	0.7299280289
526	0.7299044659
527	0.7298944756
528	0.7298821676
529	0.7298717214
530	0.7298616043
531	0.7298285232
532	0.7298131451
533	0.7297844387
534	0.7297718443
535	0.7297597689
536	0.7297333751
537	0.7297225334
538	0.7297115981
539	0.72969978
540	0.7296664575
541	0.7296531167
542	0.7296419269
543	0.7296310951
544	0.7296204776
545	0.7296085631
546	0.7295962397
547	0.729585521
548	0.7295310481
549	0.7295202897
550	0.7294955823
551	0.7294830411
552	0.7294542494
553	0.7294415869
554	0.7294291361
555	0.7294171458
556	0.7293820151
557	0.729369139
558	0.7293302758
559	0.7293172536
560	0.7293062514
561	0.7292939071
562	0.7292818217
563	0.7292694399
564	0.7292580805
565	0.7292493087
566	0.7292370052
567	0.7292253896
568	0.7292129234
569	0.7291999837
570	0.7291873233
571	0.72917596
572	0.7291637495
573	0.7291519078
574	0.7291364845
575	0.7291257718
576	0.7291130596
577	0.7290983971
578	0.729086989
579	0.7290649059
580	0.7290360799
581	0.7290249428
582	0.7289829794
583	0.7289482742
584	0.7289359281
585	0.7289173783
586	0.7288944097
587	0.7288469136
588	0.7288343965
589	0.7288005902
590	0.7287826363
591	0.7287542769
592	0.7287393896
593	0.7287148309
594	0.7286829901
595	0.7286601137
596	0.7286483304
597	0.728622066
598	0.7286095622
599	0.7285975524
600	0.7285861502
601	0.7285643919
602	0.7285525899
603	0.7285401711
604	0.728529655
605	0.7284747183
606	0.7284625441
607	0.7284509802
608	0.728439903
609	0.7284156101
610	0.7284038857
611	0.7283782798
612	0.7283661857
613	0.7283542527
614	0.7283419102
615	0.7282788078
616	0.7282675526
617	0.7282551449
618	0.7282435273
619	0.7282319398
620	0.7282099904
621	0.7281980536
622	0.728172038
623	0.7281602445
624	0.7281415531
625	0.7281301654
626	0.7278838216
627	0.7278726377
628	0.7278605052
629	0.7278481052
630	0.727836067
631	0.7278116145
632	0.7278001734
633	0.7277847316
634	0.7277676506
635	0.7276875118
636	0.7276762415
637	0.7276638038
638	0.7275879875
639	0.7275743778
640	0.7275356822
641	0.7275240606
642	0.7275100643
643	0.7274981257
644	0.7274869283
645	0.7274628906
646	0.7274523218
647	0.7274412941
648	0.7274307658
649	0.7274195492
650	0.7274074802
651	0.727394667
652	0.727383311
653	0.7273717749
654	0.727358487
655	0.7273054348
656	0.7272936987
657	0.7272791283
658	0.7272670892
659	0.7272546605
660	0.7272427251
661	0.7272304294
662	0.7272197459
663	0.7272087268
664	0.7271966672
665	0.7271781413
666	0.7271668761
667	0.7271564273
668	0.7270939071
669	0.7270816933
670	0.7270702674
671	0.727057292
672	0.7270469009
673	0.7270353952
674	0.7270245658
675	0.7270119599
676	0.7270017254
677	0.7269873163
678	0.7269505023
679	0.7269343527
680	0.7268467823
681	0.7268334732
682	0.7268168833
683	0.726804757
684	0.7267934101
685	0.7267818252
686	0.7267699506
687	0.7267537194
688	0.726742845
689	0.7267294417
690	0.7267186594
691	0.7267065204
692	0.7266936754
693	0.7266823389
694	0.7266708371
695	0.72665852
696	0.7266476439
697	0.726622242
698	0.7266035989
699	0.7265877157
700	0.7265762638
701	0.7265648688
702	0.726551774
703	0.726539745
704	0.7265249417
705	0.7264790168
706	0.7264680535
707	0.7264561481
708	0.7264426598
709	0.7264138507
710	0.7264014234
711	0.7263888886
712	0.7263633079
713	0.7263510486
714	0.7263373713
715	0.7263253326
716	0.7263157287
717	0.7262984001
718	0.726286357
719	0.7262670922
720	0.7262502406
721	0.7262370126
722	0.7262248056
723	0.7262124032
724	0.7261835199
725	0.7261714251
726	0.7261595659
727	0.7261469416
728	0.7261360272
729	0.7261240342
730	0.726110756
731	0.7260973016
732	0.7260860358
733	0.7260738619
734	0.7260613707
735	0.7260498183
736	0.7260375301
737	0.7260126848
738	0.7260007866
739	0.7259875069
740	0.7259619274
741	0.725950785
742	0.7259344127
743	0.7259230127
744	0.7259119776
745	0.7259006423
746	0.7258899056
747	0.725878575
748	0.7258675616
749	0.7258221085
750	0.7258098525
751	0.7257988154
752	0.7257769562
753	0.7257639918
754	0.7257525839
755	0.7257419087
756	0.7257247715
757	0.7257136808
758	0.7257021324
759	0.7256897933
760	0.7256742013
761	0.7256511319
762	0.7256397484
763	0.7256257923
764	0.7255946133
765	0.7255004578
766	0.7254879213
767	0.7254753116
768	0.7254530661
769	0.7254408466
770	0.7254276963
771	0.7254167514
772	0.7254045178
773	0.7253849399
774	0.7253741582
775	0.725361652
776	0.7253491793
777	0.7252834253
778	0.7252717573
779	0.725259263
780	0.7252468162
781	0.7252348507
782	0.7251710901
783	0.7251590115
784	0.725148121
785	0.7251372358
786	0.7251207827
787	0.7251091128
788	0.725096903
789	0.7250845344
790	0.725071714
791	0.7250593741
792	0.725039773
793	0.7250296093
794	0.7250175665
795	0.7249137218
796	0.7249015293
797	0.7248895023
798	0.7248782721
799	0.7248626731
800	0.7248526221
801	0.7248401406
802	0.7248274766
803	0.7248160076
804	0.7248034391
805	0.7247718699
806	0.7247603856
807	0.7247420864
808	0.724725553
809	0.7247081151
810	0.7246953838
811	0.7246850408
812	0.7246735672
813	0.724661441
814	0.7243541015
815	0.7243325459
816	0.7243165224
817	0.7243036601
818	0.724283515
819	0.7242672125
820	0.7242558138
821	0.724243385
822	0.7242305597
823	0.7242179242
824	0.7242073744
825	0.7241960635
826	0.7241839598
827	0.7241723244
828	0.7241612511
829	0.72414795
830	0.7241372499
831	0.7241255421
832	0.7241130535
833	0.7241000658
834	0.7240890453
835	0.7240769124
836	0.724062965
837	0.7240508968
838	0.7240392089
839	0.7240280884
840	0.7240163207
841	0.7239367246
842	0.723875903
843	0.7238632198
844	0.7238500882
845	0.7238173893
846	0.7238007094
847	0.7237877089
848	0.7237530002
849	0.7237413417
850	0.723706293
851	0.7236926783
852	0.7236807362
853	0.7236692078
854	0.7236509183
855	0.7236389915
856	0.7235933854
857	0.7235815939
858	0.723547471
859	0.7235326054
860	0.7235205254
861	0.723507919
862	0.7234963152
863	0.7234850759
864	0.7234583889
865	0.7234424591
866	0.7234304692
867	0.7234149778
868	0.7234028211
869	0.7233920754
870	0.7233813487
871	0.7233687237
872	0.7233567879
873	0.7233438801
874	0.7233282501
875	0.723315639
876	0.7233037069
877	0.7232607606
878	0.7232491309
879	0.7232367746
880	0.7232196679
881	0.7232082506
882	0.723197199
883	0.7231397315
884	0.7231284152
885	0.7230736444
886	0.7230625688
887	0.7230485849
888	0.7230372658
889	0.7230160659
890	0.7229752981
891	0.7229628049
892	0.7229508795
893	0.7229300813
894	0.7229190674
895	0.7228963305
896	0.7228837156
897	0.7228726386
898	0.7228611583
899	0.7228392596
900	0.7228118424
901	0.7227997745
902	0.7227867882
903	0.7227732034
904	0.7227516811
905	0.7227353272
906	0.722724053
907	0.7227124183
908	0.7227011556
909	0.7226890914
910	0.722676796
911	0.7226671605
912	0.722655675
913	0.7226431873
914	0.7226311519
915	0.7226191101
916	0.7226075072
917	0.7225879491
918	0.7225761498
919	0.7225627369
920	0.7225466984
921	0.7225342725
922	0.7225218616
923	0.7225108995
924	0.7224965464
925	0.7224842915
926	0.7224686905
927	0.7224567072
928	0.7224396434
929	0.7223725001
930	0.7223564668
931	0.7223450312
932	0.7223333178
933	0.7223125274
934	0.7223003685
935	0.7222893501
936	0.7222780559
937	0.7222670324
938	0.7222546329
939	0.7222423285
940	0.7222307161
941	0.7222188121
942	0.7222068734
943	0.7221848332
944	0.7221725968
945	0.7221617271
946	0.7221508173
947	0.7221390846
948	0.7221028064
949	0.722091142
950	0.7220790643
951	0.7220663114
952	0.7220545447
953	0.7220428049
954	0.7220313744
955	0.7220177405
956	0.7220019419
957	0.7219862597
958	0.7219743771
959	0.7219617492
960	0.7219496793
961	0.7219367674
962	0.7219249452
963	0.721911995
964	0.7219007185
965	0.7218644157
966	0.721853749
967	0.721843056
968	0.7218313651
969	0.7218181498
970	0.7218056644
971	0.7217938608
972	0.721763358
973	0.7217529434
974	0.7217406486
975	0.7217249049
976	0.7217138167
977	0.72167763
978	0.7216664583
979	0.7216543526
980	0.7215893451
981	0.7215781933
982	0.7215665504
983	0.7215134917
984	0.7214834336
985	0.7214682301
986	0.7214563184
987	0.7214451728
988	0.721432765
989	0.7214208696
990	0.7214090061
991	0.7213953768
992	0.7213841954
993	0.721346808
994	0.7213356243
995	0.7213247125
996	0.7212970121
997	0.7212838844
998	0.7212720771
999	0.7212609737
